id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
453,Son Heung-Min,35,3051,23,16.992173068225384,7,7.846952574327588,86,73,2,0,F M,Tottenham,23,16.992173068225384,29.624786227941513,10.343098422512412
1250,Mohamed Salah,35,2757,23,24.364288866519928,13,9.790822226554155,139,62,1,0,F S,Liverpool,18,19.79727490246296,32.15880052000284,11.22197961062193
2371,Cristiano Ronaldo,30,2468,18,17.212831899523735,3,4.424962695688009,110,26,8,0,F S,Manchester United,15,14.929328348487616,23.253704860806465,7.720637893304229
647,Harry Kane,37,3229,17,20.68507192377001,9,9.81828890554607,133,48,5,0,F M S,Tottenham,13,17.640392211265862,31.89218362979591,9.80840826407075
838,Sadio Mané,34,2833,16,16.82961556315422,2,5.269158905372024,98,39,5,0,F S,Liverpool,16,16.82961556315422,28.448098309338093,11.072973331436515
447,Kevin De Bruyne,30,2214,15,5.9499644339084625,8,11.260171007364988,78,87,2,0,M S,Manchester City,15,5.9499644339084625,20.317838434129953,9.413898749276996
755,Jamie Vardy,25,1807,15,9.991950891911983,2,1.6055144965648651,54,18,2,0,F S,Leicester,15,9.991950891911983,12.636008812114596,1.9982727896422148
6854,Diogo Jota,35,2401,15,17.34798476099968,4,5.874588536098599,90,40,3,0,F S,Liverpool,15,17.34798476099968,25.77840629965067,6.919248638674617
522,Wilfried Zaha,33,2762,14,10.184118073433638,1,4.893216146156192,69,46,4,1,F M S,Crystal Palace,9,4.855936596170068,12.100897870957851,3.8086952473968267
618,Raheem Sterling,30,2119,13,15.778131879866123,5,5.0249252915382385,58,42,1,0,F M S,Manchester City,11,13.494622506201267,23.09551438316703,9.66558362543583
998,Ivan Toney,33,2905,12,12.048585828393698,5,7.343530809506774,88,43,8,0,F S,Brentford,7,8.242776174098253,12.169118613004684,2.3933666069060564
1776,Jarrod Bowen,36,3003,12,12.92943012341857,10,5.819746069610119,80,41,6,0,F M S,West Ham,12,12.92943012341857,21.70068991370499,6.549722044728696
6818,James Maddison,35,2480,12,6.496711893007159,8,5.6742051569744945,72,48,3,0,F M S,Leicester,12,6.496711893007159,14.606812160462141,5.826918383128941
750,Riyad Mahrez,28,1468,11,10.123590916395187,5,3.9328212067484856,61,40,0,0,F M S,Manchester City,7,6.317741796374321,14.36690728366375,6.279024379327893
7322,Bukayo Saka,38,3034,11,9.905906103551388,7,7.6313808765262365,97,68,6,0,F M S,Arsenal,9,8.383569121360779,19.44989830069244,9.058580647222698
7696,Teemu Pukki,37,3278,11,11.44952037371695,3,4.062802174128592,71,27,4,0,F,Norwich,8,9.166050033643842,11.974240876734257,1.043409519828856
7768,Mason Mount,32,2367,11,8.522430308163166,10,7.21291824337095,76,58,4,0,F M S,Chelsea,10,7.7612572982907295,18.23220883309841,7.473151002079248
8026,Raphinha,35,2940,11,10.23054376989603,3,6.939143891446292,87,64,7,0,F M S,Leeds,7,7.1858687195926905,17.002546676434577,6.288568283431232
8865,Ollie Watkins,35,2970,11,11.498160604387522,2,2.997610133141279,77,35,7,0,F S,Aston Villa,10,10.736988637596369,17.148511039093137,5.538892895914614
531,Michail Antonio,36,2994,10,12.788629919290543,8,5.767140578478575,83,46,6,1,F S,West Ham,10,12.027457922697067,21.07403276115656,6.651934439316392
843,James Ward-Prowse,36,3222,10,5.089495945721865,5,6.395678853616118,55,71,3,1,M,Southampton,6,2.044821010902524,11.12964179739356,9.245460629463196
